"","X","classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"1",1,"ACAD-174",0.13,NA,NA,NA,NA,NA,NA,0.57,9.05,NA,NA,0.43,NA,NA,NA,NA,1,12.18
"2",2,"ACAD-176",NA,NA,NA,NA,NA,NA,NA,NA,1.46,NA,NA,0.5,NA,NA,NA,NA,NA,3.96
"3",3,"ACAD-177",NA,NA,NA,NA,NA,NA,NA,1.39,12.3,NA,NA,0.43,NA,NA,NA,NA,1,18.12
"4",4,"ACAD-178",NA,NA,NA,NA,NA,NA,NA,1.39,11.88,NA,NA,0.43,NA,NA,NA,NA,1,18.7
"5",5,"ACAD-180",NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,8.9
"6",6,"ACAD-181",0.9,NA,NA,0.4,0.18,NA,NA,1.39,9.1,0.27,0.65,0.43,NA,NA,NA,0.3,1,20.62
"7",7,"ACAD-182",NA,NA,NA,NA,NA,NA,NA,2.15,9.29,NA,NA,0.72,NA,NA,0.07,NA,2,21.23
"8",8,"ACAD-187",NA,0.36,NA,NA,NA,0.47,0.38,3.63,17.7,NA,NA,3.46,2.54,0.39,1.79,NA,1,39.72
"9",9,"ACAD-188",NA,NA,NA,NA,NA,NA,NA,0.59,2.36,NA,NA,NA,NA,NA,NA,NA,1,12.95
"10",10,"ACAD-189",NA,NA,NA,NA,NA,NA,NA,0.59,2.36,NA,NA,NA,NA,NA,NA,NA,1,13.95
"11",11,"ACAD-207",NA,NA,NA,NA,NA,NA,NA,0.49,3.97,NA,NA,NA,NA,NA,NA,NA,NA,15.46
"12",12,"ACAD-240",NA,NA,NA,0.4,NA,NA,NA,NA,0.48,NA,NA,0.5,NA,NA,NA,NA,NA,13.38
"13",13,"ACAD-245",NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,14.25
"14",14,"ACAD-275",0.05,NA,NA,NA,NA,NA,NA,0.16,0.97,NA,NA,NA,NA,NA,NA,NA,NA,15.18
